a52dec 0.8.0-3
kconfig 6.26.0-1
kconfigwidgets 6.26.0-1
kcontacts 1:6.26.0-1
kcoreaddons 6.26.0-1
kcrash 6.26.0-1
kcron 26.04.1-1
kdav 1:6.26.0-1
kdbusaddons 6.26.0-1
kddockwidgets 2.4.0-3
kde-cli-tools 6.6.5-1
kde-dev-scripts 26.04.1-1
kde-dev-utils 26.04.1-1
kde-gtk-config 6.6.5-1
kde-inotify-survey 26.04.1-2
kdebugsettings 26.04.1-1
kdeclarative 6.26.0-1
kdeconnect 26.04.1-1
kdecoration 6.6.5-1
kded 6.26.0-1
kdeedu-data 26.04.1-1
kdegraphics-mobipocket 26.04.1-1
kdegraphics-thumbnailers 26.04.1-1
kdenetwork-filesharing 26.04.1-1
kdenlive 26.04.1-1
kdepim-addons 26.04.1-1
kdepim-runtime 26.04.1-1
kdeplasma-addons 6.6.5-1
kdesdk-kio 26.04.1-1
kdesdk-thumbnailers 26.04.1-1
kdesu 6.26.0-1
kdevelop 26.04.1-1
kdevelop-php 26.04.1-1
kdevelop-python 26.04.1-1
kdf 26.04.1-1
kdiagram 3.0.1-5
kdialog 26.04.1-1
kdiamond 26.04.1-1
kdnssd 6.26.0-1
kdoctools 6.26.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keditbookmarks 26.04.1-1
keysmith 26.04.1-1
keyutils 1.6.3-4
kfilemetadata 6.26.0-1
kfind 26.04.1-1
kfourinline 26.04.1-1
kgamma 6.6.5-1
kgeography 26.04.1-1
kget 26.04.1-1
kglobalaccel 6.26.0-1
kglobalacceld 6.6.5-1
kgoldrunner 26.04.1-1
kgpg 26.04.1-1
kgraphviewer 26.04.1-1
kguiaddons 6.26.0-1
khangman 26.04.1-1
khealthcertificate 26.04.1-1
khelpcenter 26.04.1-1
kholidays 1:6.26.0-1
ki18n 6.26.0-1
kiconthemes 6.26.0-1
kidentitymanagement 26.04.1-1
kidletime 6.26.0-1
kig 26.04.1-1
kigo 26.04.1-1
killbots 26.04.1-1
kimageannotator 0.7.2-2
kimageformats 6.26.0-1
kimagemapeditor 26.04.1-1
kimap 26.04.1-1
kinfocenter 6.6.5-1
kio 6.26.0-1
kio-admin 26.04.1-1
kio-extras 26.04.1-1
kio-fuse 5.1.1-1
kio-gdrive 26.04.1-1
kio-zeroconf 26.04.1-1
kirigami 6.26.0-1
kirigami-addons 1.12.1-1
kirigami-gallery 26.04.1-1
kiriki 26.04.1-1
kitemmodels 6.26.0-1
kitemviews 6.26.0-1
kiten 26.04.1-1
kitinerary 26.04.1-2
kjobwidgets 6.26.0-1
kjournald 26.04.1-1
kjumpingcube 26.04.1-1
kldap 26.04.1-1
kleopatra 26.04.1-1
klettres 26.04.1-1
klickety 26.04.1-1
klines 26.04.1-1
kmag 26.04.1-1
kmahjongg 26.04.1-1
kmail 26.04.1-1
kmail-account-wizard 26.04.1-1
kmailtransport 26.04.1-1
kmbox 26.04.1-1
kmenuedit 6.6.5-1
kmime 26.04.1-1
kmines 26.04.1-1
kmix 26.04.1-1
kmod 34.2-1
kmousetool 26.04.1-1
kmouth 26.04.1-1
kmplot 26.04.1-1
knavalbattle 26.04.1-1
knetwalk 26.04.1-1
knewstuff 6.26.0-1
knights 26.04.1-1
knighttime 6.6.5-1
knotifications 6.26.0-1
knotifyconfig 6.26.0-1
koko 26.04.1-1
kolf 26.04.1-1
kollision 26.04.1-1
kolourpaint 26.04.1-1
kompare 26.04.1-1
kongress 26.04.1-1
konqueror 26.04.1-1
konquest 26.04.1-1
konsole 26.04.1-1
kontact 26.04.1-1
kontactinterface 26.04.1-1
kontrast 26.04.1-1
konversation 26.04.1-1
kopeninghours 26.04.1-1
korganizer 26.04.1-1
kosmindoormap 26.04.1-1
kpackage 6.26.0-1
kparts 6.26.0-1
kpat 26.04.1-1
kpeople 6.26.0-1
kpimtextedit 26.04.1-1
kpipewire 6.6.5-1
kpkpass 26.04.1-1
kplotting 6.26.0-1
kpmcore 26.04.1-1
kpty 6.26.0-1
kpublictransport 26.04.1-1
kqtquickcharts 26.04.1-1
kquickcharts 6.26.0-1
kquickimageeditor 0.6.1-2
krb5 1.22.2-1
krdc 26.04.1-1
krdp 6.6.5-1
krecorder 26.04.1-1
kreversi 26.04.1-1
krfb 26.04.1-1
kruler 26.04.1-1
krunner 6.26.0-1
ksanecore 26.04.1-1
kscreen 6.6.5-1
kscreenlocker 6.6.5-1
kservice 6.26.0-1
kshisen 26.04.1-1
ksirk 26.04.1-1
ksmtp 26.04.1-1
ksnakeduel 26.04.1-1
kspaceduel 26.04.1-1
ksquares 26.04.1-1
ksshaskpass 6.6.5-1
kstatusnotifieritem 6.26.0-1
ksudoku 26.04.1-1
ksvg 6.26.0-1
ksystemlog 26.04.1-1
ksystemstats 6.6.5-1
kteatime 26.04.1-1
ktextaddons 2.0.2-1
ktexteditor 6.26.0-1
ktexttemplate 6.26.0-1
ktextwidgets 6.26.0-1
ktimer 26.04.1-1
ktnef 26.04.1-1
ktorrent 26.04.1-1
ktouch 26.04.1-1
ktrip 26.04.1-1
ktuberling 26.04.1-1
kturtle 26.04.1-1
kubrick 26.04.1-1
kunifiedpush 26.04.1-1
kunitconversion 6.26.0-1
kuserfeedback 6.26.0-1
kwallet 6.26.0-1
kwallet-pam 6.6.5-1
kwalletmanager 26.04.1-1
kwave 26.04.1-1
kwayland 6.6.5-1
kweather 26.04.1-1
kweathercore 26.04.1-1
kwidgetsaddons 6.26.0-1
kwin 6.6.5-3
kwin-x11 6.6.5-2
kwindowsystem 6.26.0-1
kwordquiz 26.04.1-1
kwrited 6.6.5-1
kxmlgui 6.26.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
layer-shell-qt 6.6.5-2
lcms2 2.19.1-1
ldb 2:4.24.3-1
leancrypto 1.7.2-1
leptonica 1.87.0-1
less 1:692-1
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.20.0-7
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.1-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.3-1
lib32-gamemode 1.8.2-1
lib32-gcc-libs 16.1.1+r12+g301eb08fa2c5-1
lib32-glew 2.3.1-1
lib32-glib2 2.88.1-1
lib32-glibc 2.43+r22+g8362e8ce10b2-2
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdrm 2.4.133-1
lib32-libelf 0.195-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
